"city","lat","long"
"Colorado Springs, CO","37.279342","-102.698589"
"Fort Collins, CO","40.5508527","-105.0668085"
"Minneapolis, MN","44.9772995","-93.2654692"
"Lansing, MI","42.7337712","-84.5553805"
"Milwaukee, WI","43.0349931","-87.922497"
"Madison, WI","43.074761","-89.3837613"
