"Station_ID","Year","N","First_Record","Last_Record","GlobalAvg_Flow","Max_Avg_Flow","Min_Avg_Flow"
"USGS-02336000",2008,366,2008-01-01,2008-12-31,1136.16393442623,4800,720
"USGS-02336000",2009,365,2009-01-01,2009-12-31,2364.22739726027,24600,710
"USGS-02336000",2010,365,2010-01-01,2010-12-31,2668.66301369863,9350,911
"USGS-02336000",2011,365,2011-01-01,2011-12-31,2249.13150684931,8220,801
"USGS-02336000",2012,366,2012-01-01,2012-12-31,1397.59289617486,5520,763
"USGS-02336000",2013,365,2013-01-01,2013-12-31,2885.25205479452,9010,802
"USGS-02336000",2014,365,2014-01-01,2014-12-31,2322.47945205479,7530,907
"USGS-02336000",2015,365,2015-01-01,2015-12-31,2272.2,8450,936
"USGS-02336000",2016,366,2016-01-01,2016-12-31,2456.54371584699,10600,936
"USGS-02336000",2017,365,2017-01-01,2017-12-31,1244.84109589041,6860,776
"USGS-02336000",2018,365,2018-01-01,2018-12-31,3103.73424657534,13400,881
"USGS-02336000",2019,365,2019-01-01,2019-12-31,3625.95890410959,13300,962
"USGS-02336000",2020,366,2020-01-01,2020-12-31,4042.73770491803,18900,961
"USGS-02336000",2021,258,2021-01-01,2021-09-15,3409.57364341085,12000,1100
"USGS-02336490",1995,365,1995-01-01,1995-12-31,3179.20547945205,25400,1140
"USGS-02336490",1996,366,1996-01-01,1996-12-31,3563.19672131148,22600,1090
"USGS-02336490",1997,365,1997-01-01,1997-12-31,2980.02739726027,18100,1110
"USGS-02336490",1998,365,1998-01-01,1998-12-31,3783.04109589041,23100,1050
"USGS-02336490",1999,365,1999-01-01,1999-12-31,1565.28767123288,6490,1050
"USGS-02336490",2000,366,2000-01-01,2000-12-31,1748.04644808743,14400,959
"USGS-02336490",2001,365,2001-01-01,2001-12-31,1524.53698630137,9380,768
"USGS-02336490",2002,365,2002-01-01,2002-12-31,1624.94520547945,12400,861
"USGS-02336490",2003,365,2003-01-01,2003-12-31,3615.42465753425,21000,1010
"USGS-02336490",2004,366,2004-01-01,2004-12-31,2845.99453551913,26100,984
"USGS-02336490",2005,365,2005-01-01,2005-12-31,3481.0301369863,23000,986
"USGS-02336490",2006,365,2006-01-01,2006-12-31,2195.92054794521,9060,915
"USGS-02336490",2007,365,2007-01-01,2007-12-31,1666.68493150685,7930,889
"USGS-02336490",2008,366,2008-01-01,2008-12-31,1300.15027322404,6650,781
"USGS-02336490",2009,365,2009-01-01,2009-12-31,2745.26301369863,34000,787
"USGS-02336490",2010,365,2010-01-01,2010-12-31,2953.57534246575,15000,938
"USGS-02336490",2011,365,2011-01-01,2011-12-31,2426.90410958904,9480,880
"USGS-02336490",2012,366,2012-01-01,2012-12-31,1543.54918032787,8270,782
"USGS-02336490",2013,365,2013-01-01,2013-12-31,3394.01643835616,16500,849
"USGS-02336490",2014,365,2014-01-01,2014-12-31,2685.84657534247,14600,930
"USGS-02336490",2015,365,2015-01-01,2015-12-31,2649.17808219178,15200,1000
"USGS-02336490",2016,366,2016-01-01,2016-12-31,2683.76229508197,13300,907
"USGS-02336490",2017,365,2017-01-01,2017-12-31,1471.03561643836,11600,822
"USGS-02336490",2018,365,2018-01-01,2018-12-31,3344.3698630137,23000,956
"USGS-02336490",2019,365,2019-01-01,2019-12-31,3777.73698630137,20300,958
"USGS-02336490",2020,366,2020-01-01,2020-12-31,4438.08743169399,24200,1080
"USGS-02336490",2021,258,2021-01-01,2021-09-15,3685.77519379845,14000,1070
"USGS-02341460",1995,365,1995-01-01,1995-12-31,7450.90410958904,40100,1540
"USGS-02341460",1996,366,1996-01-01,1996-12-31,8418.27868852459,60900,1690
"USGS-02341460",1997,365,1997-01-01,1997-12-31,7905.97260273973,52300,1780
"USGS-02341460",1998,365,1998-01-01,1998-12-31,8834.57534246575,68400,1960
"USGS-02341460",1999,365,1999-01-01,1999-12-31,3653.37534246575,12300,962
"USGS-02341460",2000,366,2000-01-01,2000-12-31,3092.1693989071,18300,921
"USGS-02341460",2001,365,2001-01-01,2001-12-31,4599.97808219178,42400,972
"USGS-02341460",2002,365,2002-01-01,2002-12-31,4023.67123287671,27700,1240
"USGS-02341460",2003,365,2003-01-01,2003-12-31,9891.06849315069,118000,1070
"USGS-02341460",2004,366,2004-01-01,2004-12-31,6466.25683060109,27700,1110
"USGS-02341460",2005,365,2005-01-01,2005-12-31,8686.7397260274,61800,1370
"USGS-02341460",2006,365,2006-01-01,2006-12-31,4557.06849315068,18000,1080
"USGS-02341460",2007,365,2007-01-01,2007-12-31,3240.57534246575,16700,1400
"USGS-02341460",2008,366,2008-01-01,2008-12-31,3140.65573770492,15300,1170
"USGS-02341460",2009,365,2009-01-01,2009-12-31,8217.75342465753,52100,1010
"USGS-02341460",2010,365,2010-01-01,2010-12-31,6621.30684931507,47300,938
"USGS-02341460",2011,365,2011-01-01,2011-12-31,4332.05479452055,18200,1400
"USGS-02341460",2012,366,2012-01-01,2012-12-31,3206.74863387978,23400,1270
"USGS-02341460",2013,365,2013-01-01,2013-12-31,7212.43835616438,26300,1130
"USGS-02341460",2014,365,2014-01-01,2014-12-31,5318.79452054795,30900,1380
"USGS-02341460",2015,365,2015-01-01,2015-12-31,6228.52054794521,80200,1450
"USGS-02341460",2016,366,2016-01-01,2016-12-31,5333.82513661202,50800,1030
"USGS-02341460",2017,365,2017-01-01,2017-12-31,4316.52054794521,26300,1500
"USGS-02341460",2018,365,2018-01-01,2018-12-31,7570.43835616438,41500,1600
"USGS-02341460",2019,365,2019-01-01,2019-12-31,7892.90410958904,42000,1560
"USGS-02341460",2020,366,2020-01-01,2020-12-31,10515.6557377049,54800,2060
"USGS-02341460",2021,258,2021-01-01,2021-09-15,7920.23255813954,40700,1710
